filename,child_count,doc_type,level,skill
A1_Descripteurs_PE.pdf,20,descripteur:20,A1:20,PE:20
A1_Descripteurs_PO.pdf,22,descripteur:22,A1:22,PO:22
A1_Grille_PE.pdf,12,grille:12,A1:12,PE:12
A1_Grille_PO.pdf,9,grille:9,A1:9,PO:9
A1_stagiaire.pdf,86,stagiaire:86,A1:86,general:86
A2_Descripteurs_PE.pdf,17,descripteur:17,A2:17,PE:17
A2_Descripteurs_PO.pdf,21,descripteur:21,A2:21,PO:21
A2_Grille_PE.pdf,12,grille:12,A2:12,PE:12
A2_Grille_PO.pdf,9,grille:9,A2:9,PO:9
A2_stagiaire.pdf,132,stagiaire:132,A2:132,general:132
B1_Descripteurs_PE.pdf,19,descripteur:19,B1:19,PE:19
B1_Descripteurs_PO.pdf,28,descripteur:28,B1:28,PO:28
B1_Grille_PE.pdf,12,grille:12,B1:12,PE:12
B1_Grille_PO.pdf,9,grille:9,B1:9,PO:9
B1_stagiaire.pdf,113,stagiaire:113,B1:113,general:113
B2_Descripteurs_PE.pdf,20,descripteur:20,B2:20,PE:20
B2_Descripteurs_PO.pdf,21,descripteur:21,B2:21,PO:21
B2_Grille_PE.pdf,12,grille:12,B2:12,PE:12
B2_Grille_PO.pdf,9,grille:9,B2:9,PO:9
B2_stagiaire.pdf,130,stagiaire:130,B2:130,general:130
DALF C1-PO-Méthodologie-VD.pdf,33,methodologie:33,C1:33,PO:33
Descripteurs_CECRL_A1_B2_VF_a_donner.pdf,667,descripteur:667,general:667,general:667
Diaporama_rôle_EC_VF.pptx,48,presentation:48,general:48,general:48
Dispositif_DELF-DALF_v2022.pptx,37,manuel:37,general:37,general:37
Echelle globale.pdf,20,descripteur:20,general:20,general:20
FEI_presentation_courte.pptx,14,manuel:14,general:14,general:14
Introduction_critères_corriges.docx,18,methodologie:18,general:18,general:18
Inventaire_ONLINE_full.pdf,2109,manuel:2109,general:2109,general:2109
Niveaux_CECRL_PE_V2.pdf,13,descripteur:13,general:13,PE:13
PE_A1.pdf,26,sujet:26,A1:26,PE:26
PE_A2.pdf,55,sujet:55,A2:55,PE:55
PE_B1.pdf,45,sujet:45,B1:45,PE:45
PE_B2.pdf,38,sujet:38,B2:38,PE:38
"PO C1 _ “Le corps, une préoccupation majeure des sociétés contemporaines”.pdf",45,sujet:45,C1:45,PO:45
PO-Veganisme.pdf,107,sujet:107,C1:107,PO:107
PO_A1.pdf,31,sujet:31,A1:31,PO:31
PO_A2.pdf,28,sujet:28,A2:28,PO:28
PO_B1.pdf,30,sujet:30,B1:30,PO:30
PO_B2.pdf,26,sujet:26,B2:26,PO:26
Portfolio_europeen_des_langues.pdf,47,methodologie:47,general:47,general:47
Présentation_copies_atypiques_VF.pptx,44,copie:44,general:44,general:44
Tableau_epreuves_DD_AS.pdf,20,manuel:20,general:20,general:20
WhatsApp Image 2025-06-01 at 21.37.31.docx,24,other:24,C1:24,general:24
WhatsApp Image 2025-06-01 at 21.37.31.jpeg,19,other:19,C1:19,general:19
WhatsApp Image 2025-06-01 at 21.37.35.docx,25,other:25,C1:25,general:25
WhatsApp Image 2025-06-01 at 21.37.35.jpeg,22,other:22,C1:22,general:22
WhatsApp Image 2025-06-01 at 21.39.12.jpeg,26,other:26,C1:26,general:26
WhatsApp Image 2025-06-01 at 21.39.17.jpeg,5,other:5,C1:5,general:5
WhatsApp Image 2025-06-01 at 21.39.47.jpeg,34,other:34,C1:34,general:34
WhatsApp Image 2025-06-01 at 21.39.51 (1).jpeg,8,other:8,C1:8,general:8
WhatsApp Image 2025-06-01 at 21.39.51.jpeg,8,other:8,C1:8,general:8
brouillon du cerveau - Alanur Bagci (1).pdf,13,other:13,C1:13,general:13
brouillon du cerveau - Alanur Bagci.pdf,13,other:13,C1:13,general:13
dalf-c1sujet-demo-candidat-coll.pdf,161,sujet:161,C1:161,general:161
manuel-exacor.pdf,367,manuel:367,general:367,general:367
niveaux_mots_cles.pdf,11,descripteur:11,general:11,general:11
